#LINK
#lang	ja
#attribution_url	https://ja.wikipedia.org/wiki/%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96
#attribution_name	小雀
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	hyakuninisshu_data
#download_from	http://linkdata.org/work/rdf1s5297i
#property	上の句	上の句カナ	下の句	下の句カナ	作者
#object_type_xsd	string:ja	string:ja	string:ja	string:ja	string:ja
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
54	忘れじの　行く末までは　かたければ	ワスレジノ　ユクスエマデワ　カタケレバ	今日を限りの　命ともがな	キョーオカギリノ　イノチトモガナ	儀同三司母
55	滝の音は　絶えて久しく　なりぬれど	タキノオトワ　タエテヒサシク　ナリヌレド	名こそ流れて　なほ聞こえけれ	ナコソナガレテ　ナオキコエケレ	大納言公任
56	あらざらむ　この世のほかの　思ひ出に	アラザラン　コノヨノホカノ　オモイデニ	今ひとたびの　逢ふこともがな	イマヒトタビノ　オーコトモガナ	和泉式部
57	めぐりあひて　見しやそれとも　わかぬ間に	メグリアイテ　ミシヤソレトモ　ワカヌマニ	雲がくれにし　夜半の月かな	クモガクレニシ　ヨワノツキカナ	紫式部
58	有馬山　猪名の笹原　風吹けば	アリマヤマ　イナノササハラ　カゼフケバ	いでそよ人を　忘れやはする	イデソヨヒトオ　ワスレヤワスル	大弐三位
59	やすらはで　寝なましものを　さ夜更けて	ヤスラワデ　ネナマシモノオ　サヨフケテ	かたぶくまでの　月を見しかな	カタブクマデノ　ツキオミシカナ	赤染衛門
60	大江山　いく野の道の　遠ければ	オーエヤマ　イクノノミチノ　トーケレバ	まだふみもみず　天の橋立	マダフミモミズ　アマノハシダテ	小式部内侍
61	いにしへの　奈良の都の　八重桜	イニシエノ　ナラノミヤコノ　ヤエザクラ	けふ九重に　にほひぬるかな	キョーココノエニ　ニオイヌルカナ	伊勢大輔
62	夜をこめて　鳥のそらねは　はかるとも	ヨオコメテ　トリノソラネワ　ハカルトモ	よに逢坂の　関はゆるさじ	ヨニオーサカノ　セキワユルサジ	清少納言
63	今はただ　思ひ絶えなむ　とばかりを	イマワタダ　オモイタエナン　トバカリオ	人づてならで　言ふよしもがな	ヒトズテナラデ　ユーヨシモガナ	左京大夫道雅
64	朝ぼらけ　宇治の川霧　たえだえに	アサボラケ　ウジノカワギリ　タエダエニ	あらはれわたる　瀬々の網代木	アラワレワタル　セゼノアジロギ	権中納言定頼
